Unnamed: 0,link,text,user,likes,quotes,retweets,comments,cleaned_text
0,https://twitter.com/elonmusk/status/1800606627319456065#m,How to share links,Elon Musk,28875,220,4579,3254,share link
1,https://twitter.com/Tesla_Megapack/status/1800920444276543858#m,600 MWh of Megapacks will soon be co-located with wind at @Orsted's Horsea 3 Wind Farm,Tesla Megapack,935,8,142,84,600 MWh Megapacks soon colocated wind Orsteds Horsea 3 Wind Farm
2,https://twitter.com/elonmusk/status/1800924375010648136#m,"Starship is the most power flying object ever created.   Currently over twice the thrust of Saturn V and, with future upgrades, three times the thrust (10,000 tons of force).",Elon Musk,14163,123,1575,1569,Starship power flying object ever created Currently twice thrust Saturn V future upgrade three time thrust 10000 ton force
3,https://twitter.com/elonmusk/status/1800914373512495414#m,It was disrespectful & unkind of The New York Times to say that about the tribe,Elon Musk,15617,176,2213,1859,disrespectful unkind New York Times say tribe
4,https://twitter.com/elonmusk/status/1800909236597383455#m,"Extremely challenging, but achievable",Elon Musk,10027,149,1363,1278,Extremely challenging achievable
5,https://twitter.com/cb_doge/status/1800906546198839569#m,"Most users are on 𝕏 because it’s entertaining, but majorities also use it for politics, news.",DogeDesigner,2506,31,342,368,user 𝕏 entertaining majority also use politics news
6,https://twitter.com/elonmusk/status/1800905349148664295#m,Important change: your likes are now private,Elon Musk,82825,2907,5898,7210,Important change like private
7,https://twitter.com/elonmusk/status/1800904669872656738#m,Interesting,Elon Musk,6834,49,883,850,Interesting
8,https://twitter.com/elonmusk/status/1800759374941659572#m,Yeah,Elon Musk,184088,1035,26583,5760,Yeah
9,https://twitter.com/elonmusk/status/1800759252224729577#m,A teleportation time machine would be so helpful,Elon Musk,216422,4214,18035,21452,teleportation time machine would helpful
10,https://twitter.com/elonmusk/status/1800754578008457687#m,Starlink now available in 100 countries!,Elon Musk,80199,670,9245,5098,Starlink available 100 country
11,https://twitter.com/cb_doge/status/1800634809687093704#m,𝕏 will make likes private this week.  – You will still be able to see posts you have liked (but others cannot).  – Like count and other metrics for your own posts will still show up under notifications.  – You will no longer see who liked someone else’s post.  – A post’s author can see who liked its posts.,DogeDesigner,6611,301,880,948,𝕏 make like private week still able see post liked others Like count metric post still show notification longer see liked someone el post post author see liked post
