link,text,username,user,likes,quotes,retweets,comments
https://twitter.com/AndrewYNg/status/1719774049767964769#m,"My new course, Generative AI for Everyone, is now available!  Learn how Generative AI works, how to use it in professional or personal settings, and how it will affect jobs, businesses and society. This course is accessible to everyone, and assumes no prior coding or AI…",AndrewYNg,Andrew Ng,7500,129,1667,276
https://twitter.com/AndrewYNg/status/1801295202788983136#m,"One reason for machine learning’s success is that our field welcomes a wide range of work. I can’t think of even one example where someone developed what they called a machine learning algorithm and senior members of our community criticized it saying, “that’s not machine…",AndrewYNg,Andrew Ng,911,13,164,28
https://twitter.com/AndrewYNg/status/1801277928740970619#m,"New short course: Building Your Own Database Agent, created with Microsoft @Azure's @adriangs86. You'll learn to build an AI assistant that translates natural language questions into SQL queries. Querying with natural language empowers everyone in your organization, from business…",AndrewYNg,Andrew Ng,1047,17,227,16
https://twitter.com/AndrewYNg/status/1800582171259982289#m,"I think AI agentic machine translation has huge potential for improving over traditional neural machine translation, and am releasing as open-source a demonstration I'd been playing with as a fun weekend project.  Using an agentic workflow, this demonstration (i) Prompts an LLM…",AndrewYNg,Andrew Ng,1714,44,349,54
https://twitter.com/ylecun/status/1798839294930379209#m,"- Regulators should regulate applications, not technology. - Regulating basic technology will put an end to innovation. - Making technology developers liable for bad uses of products built from their technology will simply stop technology development. - It will certainly stop the…",AndrewYNg,Yann LeCun,2910,60,541,169
https://twitter.com/ClementDelangue/status/1798801894527082584#m,"I share @AndrewYNg's serious concerns with much of the open-source and broader AI community about California’s SB-1047 proposal.   Among many issues, the covered models definitions, shutdown capability, and enormous cost for compliance would be a huge blow to both CA and US…",AndrewYNg,clem 🤗,417,4,121,16
https://twitter.com/AndrewYNg/status/1798753608974139779#m,"The effort to protect innovation and open source continues. I believe we’re all better off if anyone can carry out basic AI research and share their innovations. Right now, I’m deeply concerned about California's proposed law SB-1047. It’s a long, complex bill with many parts…",AndrewYNg,Andrew Ng,3215,116,767,136
https://twitter.com/AndrewYNg/status/1798378861337723039#m,"New AI Agentic course! Learn to use LangGraph to build single and multi-agent LLM applications in AI Agents in LangGraph. This short course, taught by LangChain @LangChainAI  founder Harrison Chase @hwchase17 and @tavilyai founder @weiss_rotem, shows how to integrate agentic…",AndrewYNg,Andrew Ng,1106,14,228,39
https://twitter.com/AndrewYNg/status/1798063159787577843#m,We just released a new climate emulator to explore the application of Stratospheric Aerosol Injection (SAI) to mitigate global warming!  SAI uses reflective particles in the atmosphere to reflect sunlight and thereby cool Earth’s surface. Our emulator lets you explore how…,AndrewYNg,Andrew Ng,1046,36,178,76
https://twitter.com/AndrewYNg/status/1796206876805489105#m,"A barrier to faster progress in generative AI is evaluations (evals), particularly of custom AI  applications that generate free-form text. Let’s say you have a multi-agent research system that includes a researcher agent and a writer agent. Would adding a fact-checking agent…",AndrewYNg,Andrew Ng,912,23,180,46
