link,text,username,user,likes,quotes,retweets,comments
https://twitter.com/ClementDelangue/status/1694707996843196545#m,"Super excited to welcome our new investors @SalesforceVC, @Google, @amazon, @nvidia, @AMD, @intel, @QualcommVenture, @IBM & @sound_ventures_ who all participated in @huggingface’s $235M series D at a $4.5B valuation to celebrate the crossing of 1,000,000 models, datasets and apps…",ClementDelangue,clem 🤗,2247,93,323,253
https://twitter.com/nisten/status/1802415037685932411#m,Qwen7bV2 is the best coding model you can run privately & not bad at other tasks either (llama8b styling still better for emails/summaries). Tested well at 30k context.  Quantized properly from bf16 + imatrix. Embedding/Output combos included for research. https://huggingface.co/nisten/qwenv2-7b-inst-imatrix-gguf/tree/main,ClementDelangue,nisten,41,0,8,2
https://twitter.com/ananth_7b/status/1801727901991047469#m,Want $500k in funding?   I’ve met and interviewed with probably every top accelerator you can think of:  - YC - SPC - HF0 - Pear - Betaworks  In February of this year I accepted $500k from Betaworks to build our agentic vision of the future for infra.   I got to meet some of the…,ClementDelangue,Ananth,185,1,13,10
https://twitter.com/_philschmid/status/1801651752426524996#m,"Not Llama 3 405B, but Nemotron 4 340B! @nvidia just released 340B dense LLM matching the original @OpenAI GPT-4 performance for chat applications and synthetic data generation. 🤯 NVIDIA does not claim ownership of any outputs generated. 💚  TL;DR: 🧮 340B Paramters with 4k…",ClementDelangue,Philipp Schmid,1101,42,196,52
https://twitter.com/shxf0072/status/1802111837606908151#m,nvidia stealth dropped mamba2 8B hybrid no one is paying attention bcs nemotron I guess https://huggingface.co/nvidia/mamba2-hybrid-8b-3t-4k,ClementDelangue,Joey (e/λ),352,3,40,9
https://twitter.com/madebyollin/status/1802053574006059483#m,I trained a quick realtime previewer for Stable Diffusion 3 https://huggingface.co/madebyollin/taesd3,ClementDelangue,Ollin Boer Bohan,149,1,17,6
https://twitter.com/01AI_Yi/status/1801597204336878019#m,"👏 Hats off to Wenbo Pan for creating Faro Yi 9B DPO! With 200K context in just 16GB VRAM, it's a game-changer for efficient AI.   Dive into Wenbo’s impressive work on @huggingface here: https://huggingface.co/wenbopan/Faro-Yi-9B-DPO",ClementDelangue,Yi-01.AI,89,2,16,3
https://twitter.com/victormustar/status/1801657787660787933#m,I 🩷 Hugging Face Universe 😎 hf.co/spaces/Chunte/HFBA,ClementDelangue,Victor M,67,0,10,18
https://twitter.com/kuchaev/status/1801673313615548517#m,"For those wondering, ""june-chatbot"" on @lmsysorg is exactly this model posted on @huggingface https://huggingface.co/nvidia/Nemotron-4-340B-Instruct",ClementDelangue,Oleksii Kuchaiev,138,2,28,5
https://twitter.com/xenovacom/status/1801672335830798654#m,"Depth Anything V2 just released, enabling real-time depth estimation directly in your browser with 🤗 Transformers.js and WebGPU acceleration! ⚡️  The smallest model is only ~50MB (@ fp16), making it perfect for on-device usage! 😍  Check out the demo (+ source code) 👇",ClementDelangue,Xenova,530,7,87,7
https://twitter.com/RemiCadene/status/1801668134933512705#m,Did you miss that @Stanford open-sourced a humanoid robot dataset? We just made it available on @huggingface hub to allow everyone to train their own humanoid robot with LeRobot: github.com/huggingface/lerob… Here is a cool visualization with @rerundotio. More in this thread 🧵,ClementDelangue,Remi Cadene,168,1,28,3
https://twitter.com/MaziyarPanahi/status/1801662472954245584#m,"Meet the new monster in town: Nemotron-4 by @NVIDIAAI, featuring 340 billion parameters!    Get them while their hot on @huggingface🔥",ClementDelangue,Maziyar PANAHI,50,1,8,6
https://twitter.com/huggingface/status/1801611897990459747#m,"We're excited to welcome @argilla_io to the Hugging Face team! 🤗 ￼ Time to democratise good Machine Learning, one dataset at a time! ⚡️",ClementDelangue,Hugging Face,181,1,23,5
https://twitter.com/Prince_Canuma/status/1801610957258453358#m,"Open source is stronger than ever!   According to @ClementDelangue @huggingface surpassed 1M models mark (private and public)   Out which, 715K are open-source 🔥  Additionally, you have access to 162K datasets 🙌🏾",ClementDelangue,Prince Canuma,30,1,3,3
https://twitter.com/01AI_Yi/status/1801372221945872599#m,"Yi-1.5 has received over 70k+ downloads in the past month, and over 300 models have been created so far 🙌   We're thrilled to see such incredible adoption. A huge thanks to our fantastic community for making this possible. Let’s keep building together 🔥  https://huggingface.co/models?search=yi-1.5",ClementDelangue,Yi-01.AI,77,1,7,6
https://twitter.com/moo_jin_kim/status/1801548441102991771#m,"✨ Introducing 𝐎𝐩𝐞𝐧𝐕𝐋𝐀 — an open-source vision-language-action model for robotics! 👐  - SOTA generalist policy - 7B params - outperforms Octo, RT-2-X on zero-shot evals 🦾 - trained on 970k episodes from OpenX dataset 🤖 - fully open: model/code/data all online 🤗  🧵👇",ClementDelangue,Moo Jin Kim,561,20,132,16
https://twitter.com/opensauceAI/status/1801533695565959563#m,"In less than 48 hours, our Stable Diffusion 3 hit 2.69M downloads and tops the ImgSys leaderboard. Huge 🙌 to our @StabilityAI teams — past, present, and future — for continuing to share great tech with the world. It's an uphill journey, but an important one.",ClementDelangue,Ben Brooks,66,1,7,5
https://twitter.com/TheZachMueller/status/1801290383357358488#m,,ClementDelangue,Zach Mueller,21,2,2,1
https://twitter.com/joao_gante/status/1801576493035704348#m,"The beauty of open-source: as a user, you can poke at things and find improvements on what matters to you 💛  Like Cyril Vallez, whose first contribution to🤗 transformers was to halve (!) the memory consumption of `generate` to everyone 🤯",ClementDelangue,João Gante,40,0,4,2
https://twitter.com/mervenoyann/status/1801588393383428430#m,"everything about multimodal AI in 12 mins, let's go",ClementDelangue,merve,631,3,91,15
https://twitter.com/MoritzLaurer/status/1801498805851799724#m,"🥳 Asked for it in 2023, got it in 2024: @argilla_io has joined @huggingface!   Get ready for lots of amazing data-centric tooling and open datasets!",ClementDelangue,Moritz Laurer,47,0,5,0
https://twitter.com/sbeastwindy/status/1801378376785023024#m,"Inspired by @karpathy 's latest ""Let's Build GPT2"", I trained a GPT2 model to generate audio. dont think its good enough to call it 'GPT2o' but it was funny.  code, model, dataset all on @huggingface but not sure if you want to use it lol. Will train for longer next time.  1/2",ClementDelangue,Srinivas Billa,315,4,30,19
https://twitter.com/Hadley/status/1801315374572396995#m,"Well, that was fast! We led Argilla’s seed round in September and they already have been acquired by our friends at @huggingface  Huge congrats to the Argilla and Huggingface teams!",ClementDelangue,Hadley,56,0,6,4
https://twitter.com/rachelmetz/status/1801290993498468596#m,"an AI scoop from me on a foggy SF thursday that i thought was friday: @huggingface founder clem delangue told me that he's hearing from *10 AI startups per week* who want to sell themselves to the company. also! HF bought an AI startup, @argilla_io! https://www.bloomberg.com/news/articles/2024-06-13/more-ai-founders-looking-to-sell-startups-hugging-face-ceo-says?srnd=technology-vp",ClementDelangue,Rachel Metz,114,6,29,4
https://twitter.com/dvilasuero/status/1801260422416203962#m,"🔥@argilla_io is joining @huggingface 🤗 Time to double down on community, data, and open source AI!  So proud of the team, so excited to join a larger mission and amazing company  Special thanks to @osanseviero for being such a great partner during the acquisition!…",ClementDelangue,Daniel Vila Suero,173,6,38,33
https://twitter.com/argilla_io/status/1801258971107406332#m,"Today is a big day for Argilla and the Open Source AI community:     We’re joining @huggingface🤗 !    Time to double down on community and data-centric, open source AI  Read all about it and ask questions:  https://huggingface.co/posts/dvilasuero/203008804842390",ClementDelangue,Argilla,202,6,51,6
https://twitter.com/WuMinghao_nlp/status/1801127661009277198#m,This blog post (https://huggingface.co/spaces/HuggingFaceFW/blogpost-fineweb-v1) is one of my favorite reads this year. It's very insightful. Have you considered creating an arXiv version so that people can easily cite it?   @gui_penedo @HKydlicek @LoubnaBenAllal1 @anton_lozhkov @colinraffel @lvwerra @Thom_Wolf,ClementDelangue,吴明昊 Wu Minghao,32,0,7,0
https://twitter.com/QGallouedec/status/1801204880519868592#m,🔥 I've created a little utility to convert a PDF into an HF dataset. 100% online thanks to @Gradio. It saves me a lot of time. Happy to share!  https://huggingface.co/spaces/pdf2dataset/pdf2dataset,ClementDelangue,Quentin Gallouédec,107,1,23,2
https://twitter.com/xenovacom/status/1801226245738279389#m,"WOW! 🤯 Transformers.js is currently the #1 trending repo on GitHub this week, gaining over 1,000 new stars! ⭐️ Thank you all for your support! I can't wait to show you what's next! 🚀  P.S. We're almost at 10k, so add a star if you haven't already! 🤗👇",ClementDelangue,Xenova,167,0,19,4
https://twitter.com/MaziyarPanahi/status/1801241788390277378#m,"I love desktop apps so much that I made one for HuggingChat, developed by @huggingface! 🤗",ClementDelangue,Maziyar PANAHI,84,1,11,9
https://twitter.com/fffiloni/status/1800967349601755582#m,"Let’s hope they release some weights and showcase an open source version on @huggingface, putting them on the right side of History 🙏🤗",ClementDelangue,Sylvain Filoni,147,0,21,11
https://twitter.com/ClementDelangue/status/1800950101499957333#m,let's burn these A100! https://huggingface.co/spaces/stabilityai/stable-diffusion-3-medium,ClementDelangue,clem 🤗,70,0,10,4
https://twitter.com/ClementDelangue/status/1800948535023763561#m,"Lots of cloud/VC money laundering these days! When the dust will settle, smaller specialized optimized model will win because more cost efficient!",ClementDelangue,clem 🤗,93,2,9,8
https://twitter.com/victormustar/status/1800928668874895411#m,SD3 Space demo is getting smashed 🤪 hf.co/spaces/stabilityai/sta…,ClementDelangue,Victor M,28,1,3,1
https://twitter.com/ClementDelangue/status/1800908975409656014#m,And SD3 by @StabilityAI is already the #1 trending model on HF! https://huggingface.co/models,ClementDelangue,clem 🤗,137,2,21,7
https://twitter.com/alexandr_wang/status/1800754362253500709#m,"if you were to extrapolate from solar panels, EVs, computer vision, manufacturing…  the CCP is going to get really good at AI, unfortunately  (full pod out tmrw)",ClementDelangue,Alexandr Wang,333,7,30,34
https://twitter.com/multimodalart/status/1800876382530253224#m,https://huggingface.co/stabilityai/stable-diffusion-3-medium ✨,ClementDelangue,apolinario (multimodal.art),77,3,19,3
https://twitter.com/alvarobartt/status/1800800297230741595#m,🤗🎉 Today I'd like to share the tiny personal milestone of reaching 1000 followers in the @huggingface Hub!  https://huggingface.co/alvarobartt,ClementDelangue,Alvaro Bartolome,41,0,4,3
https://twitter.com/MaziyarPanahi/status/1800880676348231741#m,And it is out! SD3 Medium by @StabilityAI is now available on @huggingface! 🚀,ClementDelangue,Maziyar PANAHI,63,1,11,5
https://twitter.com/andrewrreed/status/1800641363337265220#m,"Did you know you can quickly test thousands of different AI models with simple API calls, for free?💸  🚀Excited to share my latest contribution to the Open-Source AI Cookbook that explains one of the lesser known, but highest value features on the @huggingface  Hub: the…",ClementDelangue,Andrew Reed,12,0,6,1
https://twitter.com/kchonyc/status/1800846401100013791#m,someone whispered “like @huggingface” i wonder who .. 😂,ClementDelangue,Kyunghyun Cho,65,0,4,2
https://twitter.com/ClementDelangue/status/1800605287860314332#m,In case you didn't know: open-source AI powers all AI!,ClementDelangue,clem 🤗,217,1,30,12
https://twitter.com/cyrilzakka/status/1800590315457597773#m,"Just in case you had any doubts about the utility of OSS in mainstream AI applications, here’s a slide from an Apple developer session today. A heavy reliance on OS efforts with @huggingface at the forefront. Happy to have played a small part in this!",ClementDelangue,"Cyril Zakka, MD",164,5,21,2
https://twitter.com/_philschmid/status/1800414656000938439#m,"Yesterday Apple strongly advocated for on-device AI with @Apple  Intelligence! Today, we know they will run ~3B LLM on device (Mac, iPhone, iPad) using fine-tuned LoRA Adapters for different tasks, claiming to outperform other 7B and 3B LLMs! 👀  What we know:  📱 On-device 3B…",ClementDelangue,Philipp Schmid,463,14,97,13
https://twitter.com/ClementDelangue/status/1800574124877910366#m,Who said you can't build a big business based on open-source AI? Congrats team @MistralAI (tens of millions of downloads from https://huggingface.co/mistralai)!,ClementDelangue,clem 🤗,652,1,54,15
https://twitter.com/natolambert/status/1800559722850083008#m,"seems that Apple trained a ""original GPT4""ish level performance model for servers. * Beating DBRX Instruct + Mistral 8x22b by a lot isn't super easy, but also not that hard with $$$ * Loses to current GPT4 Turbo, many models do  The on-device model makes sense that they would…",ClementDelangue,Nathan Lambert,303,1,30,13
https://twitter.com/HamelHusain/status/1800546715277357263#m,This talk from Apple is the best ad for fine tuning that probably exists.  They are also using adapters (and hot swapping IIUC),ClementDelangue,Hamel Husain,845,15,118,17
https://twitter.com/andi_marafioti/status/1800553845904523413#m,We added idefics2 and idefics2-chatty to the Unsolvable Problem Detection Leaderboard. 🚀 This benchmark was developed to measure the robustness of VLMs by asking them questions about images that cannot be answered. #MachineLearning #AI #NLP 🧵,ClementDelangue,Andi Marafioti,22,0,10,1
https://twitter.com/fleetwood___/status/1800530554514755718#m,Run CoreML models on the Neural Engine seamlessly.  Introducing deCoreML 🍎,ClementDelangue,Fleetwood,76,1,13,6
https://twitter.com/TimSweeneyEpic/status/1793053812040556940#m,Open source is built on a recognition that some foundational tools and technologies can accomplish vastly more if ubiquitous. This is true of AI where legions of academics and enthusiasts are sharing and advancing the state of the art of open models while proprietary ones stay…,ClementDelangue,Tim Sweeney,352,2,50,15
https://twitter.com/ClementDelangue/status/1800550597684543542#m,InstantMesh leading the 3D leaderboard (chatbot arena for 3D). Vote here: https://huggingface.co/spaces/dylanebert/3d-arena,ClementDelangue,clem 🤗,28,0,5,2
https://twitter.com/dylan_ebert_/status/1800333314965852518#m,⚡️ 3D News ⚡️  The official @huggingface 3D Arena Leaderboard has launched 🚀  The #1 right now is InstantMesh @xinntao   Go vote. https://huggingface.co/spaces/dylanebert/3d-arena,ClementDelangue,dylan,168,5,37,4
https://twitter.com/atiorh/status/1800543530026426472#m,On-device AI may be a good idea 🤔,ClementDelangue,Atila,89,3,5,3
https://twitter.com/TheZachMueller/status/1800291085996245148#m,"Some days you have great days doing open source work.  Other days you read one issue and your whole day is just borked emotionally.  Remember that OSS maintainers are people too, who (may) have jobs, that can't do everything under the sun like we would like 💔",ClementDelangue,Zach Mueller,40,0,3,3
https://twitter.com/witkoochocinco/status/1800300180220379248#m,Here's another shameless plug for @huggingface's global and distributed work.  My partner has business in Honolulu this week and I love love love that I didn't even have to consider whether or not I could join him on this trip. It's my first time in Hawaii and I'm having a blast!,ClementDelangue,Emily Witko,16,0,1,0
https://twitter.com/reach_vb/status/1800293882585919620#m,"The unsaid star of WWDC & Apple  pip install mlx and get access to plethora of multimodal, audio and LLMs (fully open source)  https://github.com/ml-explore/mlx",ClementDelangue,Vaibhav (VB) Srivastav,513,3,70,6
https://twitter.com/ClementDelangue/status/1800295010350530607#m,"More evidence that all companies will not only rely on third-party LLM APIs but also build their own models for their own constraints (here smaller, specialized on-device models)!",ClementDelangue,clem 🤗,40,0,5,2
https://twitter.com/ClementDelangue/status/1800287693550633059#m,"A challenge of open-source is that it gets way less credit and publicity than it deserves. The Apple intelligence announcement is a good example of that: instead of ""Apple adds chatgpt integration"", the headlines should be ""Apple uses open-source AI to build Apple intelligence…",ClementDelangue,clem 🤗,335,4,50,26
https://twitter.com/MaxWinebach/status/1800277157135909005#m,"This is from Apple's State of the Union  The local model is a 3B parameter SLM that uses adapters trained for each specific feature. Diffusion model does the same thing, adapter for each style.  Anything running locally or Apple's Secure Cloud is an Apple model, not OpenAI.",ClementDelangue,Max Weinbach,5108,367,754,125
https://twitter.com/scottbelsky/status/1800269363905188089#m,"“When you're playing a point, it has to be the most important thing in the world. And it is. But when it's behind you, it's behind you.” - @rogerfederer",ClementDelangue,scott belsky,988,19,144,2
https://twitter.com/ClementDelangue/status/1800273332971110874#m,"""The cornerstone of the personal intelligent system is on-device processing""",ClementDelangue,clem 🤗,189,4,23,12
https://twitter.com/c_valenzuelab/status/1790682968245031193#m,I am announcing that there will be an announcement about an upcoming announcement where we will announce an announcement. Sign up for the announcement wait list here.,ClementDelangue,Cristóbal Valenzuela,256,11,25,51
https://twitter.com/ClementDelangue/status/1800234967923875924#m,This is where a lot of what is announced today at #wwdc24 is coming from,ClementDelangue,clem 🤗,66,1,10,0
https://twitter.com/ClementDelangue/status/1783107571294900300#m,Apple is joining the public AI game with 4 new models on the Hugging Face hub! https://huggingface.co/collections/apple/openelm-instruct-models-6619ad295d7ae9f868b759ca,ClementDelangue,clem 🤗,877,34,149,25
https://twitter.com/ClementDelangue/status/1800233534126428226#m,we're already working with them heavily to power a lot of this (ex https://huggingface.co/apple https://huggingface.co/mlx-community https://x.com/ClementDelangue/status/1783107571294900300 https://x.com/mervenoyann/status/1535028910710312969),ClementDelangue,clem 🤗,23,1,1,2
https://twitter.com/ClementDelangue/status/1800234056270983643#m,Genmoji open-source model?,ClementDelangue,clem 🤗,50,1,1,3
https://twitter.com/ClementDelangue/status/1800231734262337936#m,"Love how @Apple is advocating for on-device AI at WWDC . Local, smaller, specialized models are the future of private, secure and efficient AI.",ClementDelangue,clem 🤗,992,11,103,37
https://twitter.com/msty_app/status/1800162696975044941#m,We are now available on @huggingface as one of the approved Local Apps which means now you can launch any models in Msty directly from within HuggingFace.  Please do us a favor and set Msty as your favorite Local App in your HF settings. We know it already is your favorite app :),ClementDelangue,Msty,28,0,8,0
https://twitter.com/CChadebec/status/1800217973447377332#m,"Along with our Flash Diffusion paper, we release a @huggingface space and open-source implementation supporting custom models.  🏎️ Accelerate your own model with our codebase: https://github.com/gojasper/flash-diffusion  🎨 Generate 1024x1024 images in a sec with our demo: https://huggingface.co/spaces/jasperai/flash-diffusion",ClementDelangue,Clément Chadebec,44,0,9,5
https://twitter.com/Ilir_AI/status/1800196154694545838#m,"🤗 Even if you live under a rock, you should know LeRobot, the first library at @huggingface Robotics 🤖!  𝗦𝗧𝗔𝗧𝗘-𝗢𝗙-𝗧𝗛𝗘-𝗔𝗥𝗧 𝗠𝗔𝗖𝗛𝗜𝗡𝗘 𝗟𝗘𝗔𝗥𝗡𝗜𝗡𝗚 𝗙𝗢𝗥 𝗥𝗘𝗔𝗟-𝗪𝗢𝗥𝗟𝗗 𝗥𝗢𝗕𝗢𝗧𝗜𝗖𝗦  🤗 LeRobot offers tools, models, and datasets for real-world…",ClementDelangue,Ilir,20,1,7,1
https://twitter.com/ClementDelangue/status/1800199387894956320#m,Anyone renting their Paris place (for me) in July/August?,ClementDelangue,clem 🤗,27,0,2,7
https://twitter.com/rohanpaul_ai/status/1800161796315078871#m,"This is quite interesting. Whisper WebGPU: Blazingly-fast ML-powered speech recognition directly in your browser 🔥  Supports multilingual transcription and translation across 100 languages. Since the model runs entirely locally in your browser (thanks to Transformers.js), no…",ClementDelangue,Rohan Paul,55,2,13,3
https://twitter.com/JellyBoxApp/status/1800169435162124535#m,Proud to be a part of huggingface local apps! 🎉🎉,ClementDelangue,Jellybox,16,0,4,2
https://twitter.com/ashokgelal/status/1800165019566620849#m,"This is a big deal for us. When it comes to AI models, there is nothing like HuggingFace. It's popularity is massive! This should help more people discover Msty and realize how they were living without it all this time :)",ClementDelangue,Ashok Gelal,7,0,2,0
