link,text,username,user,likes,quotes,retweets,comments
https://twitter.com/MKBHD/status/1476988122986647553#m,"But seriously the only way to guarantee meaningful positive change in the next 365 days around the sun is to exit your comfort zone and relentlessly attack your goals. That’s my plan, anyway. Good luck and Happy New Year 🙌🏾",MKBHD,Marques Brownlee,94327,500,10062,1933
https://twitter.com/MKBHD/status/1802371176141848764#m,Has technology finally gone too far,MKBHD,Marques Brownlee,16413,43,1040,402
https://twitter.com/MKBHD/status/1802370442528772502#m,"Happy Father's Day, Dads 👊🏾",MKBHD,Marques Brownlee,6541,11,279,110
https://twitter.com/MKBHD/status/1801613163235823644#m,So @thehacksmith made real life lightsabers and my natural reaction was to try something…,MKBHD,Marques Brownlee,14177,163,581,671
https://twitter.com/TheStudio/status/1801410535897854432#m,New video! The @MKBHD team reacts to fake Apple ads!  https://youtu.be/23xwvBsNLQ8?si=3jQ6pMcCG4hLPaW7,MKBHD,The Studio,878,2,28,9
https://twitter.com/MKBHD/status/1800927503445622851#m,Just gonna immortalize this here forever,MKBHD,Marques Brownlee,49962,811,2550,1834
https://twitter.com/MKBHD/status/1800920150566436951#m,NEW VIDEO - Talking Tech and AI with Tim Cook! https://youtu.be/pMX2cQdPubk,MKBHD,Marques Brownlee,9816,87,579,266
https://twitter.com/MKBHD/status/1800897912031137859#m,What if...,MKBHD,Marques Brownlee,35345,88,786,424
https://twitter.com/MKBHD/status/1800429932159651879#m,NEW VIDEO - WWDC 2024 Recap: My Honest Takes on Apple Intelligence (and all the other updates)  https://youtu.be/qkYoBNdcXBU,MKBHD,Marques Brownlee,9328,44,536,187
https://twitter.com/MKBHD/status/1800420969384911117#m,Uploading...,MKBHD,Marques Brownlee,5621,13,80,148
https://twitter.com/MKBHD/status/1800325336477192386#m,"Up until this moment, everyone's homescreens looked the same. Now they've given you the ability to ruin your homescreens... and you absolutely will. Welcome 😅",MKBHD,Marques Brownlee,45937,171,2085,776
https://twitter.com/MKBHD/status/1800267343605457261#m,In video mode now. Hit me with any questions 🎥,MKBHD,Marques Brownlee,9860,8,111,1399
https://twitter.com/MKBHD/status/1800235700119572898#m,Siri will officially tap into ChatGPT 4o and ask permission to use it when it could be useful,MKBHD,Marques Brownlee,28199,232,1243,474
https://twitter.com/MKBHD/status/1800233986721226779#m,"I know they just added RCS, but if I send a Genmoji to a friend with an Android phone it's gonna show up as a jpg, isn't it ☠️",MKBHD,Marques Brownlee,21742,64,577,364
https://twitter.com/MKBHD/status/1800233816709329253#m,Genmoji... Generate an emoji using a text prompt. I just know that hits different with a demographic younger than me,MKBHD,Marques Brownlee,17644,125,568,227
https://twitter.com/MKBHD/status/1800231498484007234#m,"Siri will have the ability to take hundreds of new actions in and across apps (including third party apps), including the ability to use the new generative capabilities. I remember when this was a big upside of Bixby. It's about time!",MKBHD,Marques Brownlee,12532,62,529,231
https://twitter.com/MKBHD/status/1800230688815554799#m,Now we get to the big Siri update,MKBHD,Marques Brownlee,16824,68,443,195
https://twitter.com/MKBHD/status/1800230215551254987#m,Basic summary of Apple Intelligence so far: On-device large language and diffusion models that deliver helpful features across iPhone and other devices with on-device symantic index that can bring in information across your devices and apps  Private cloud compute allows it to…,MKBHD,Marques Brownlee,18601,160,1143,420
