link,text,username,user,likes,quotes,retweets,comments
https://twitter.com/GoogleDeepMind/status/1800929787004764621#m,"Scientists from 120 countries have now used #AlphaFold Server to complete more than 620,000 jobs - to help test multiple hypotheses, predict complex interactions between proteins and DNA, and more. 🔬  Find out more in @Nature ↓ https://www.nature.com/nature/volumes/630/issues/8016",demishassabis,Google DeepMind,730,20,136,22
https://twitter.com/sebkrier/status/1800828988224323948#m,"Artificial Gerbil Intelligence has been achieved internally! 🐀  A team at Google DeepMind has built a ‘virtual rodent’, in which an artificial neural network actuates a biomechanically realistic model of the rat. This helps provide a causal, generative model that can reproduce…",demishassabis,Séb Krier,920,34,145,32
https://twitter.com/jon_citrin/status/1800894294406078605#m,"Excited to announce the release of TORAX, a tokamak transport simulator from our @GoogleDeepMind Fusion team! #fusionenergy  - Open-source: github.com/google-deepmind/t… - Uses JAX: fast, differentiable - Easy coupling of ML-surrogates  Hot off the press → arxiv.org/abs/2406.06718",demishassabis,Jonathan Citrin,370,11,77,11
https://twitter.com/demishassabis/status/1801068308944306280#m,This is actually very cool and fun to try!,demishassabis,Demis Hassabis,230,2,21,5
https://twitter.com/pushmeet/status/1800951016021770279#m,The Fusion team @GoogleDeepMind has open sourced Torax: our fast & differentiable Tokamak simulator to accelerate the use of AI in the development of practical systems for Fusion energy generation.  @jon_citrin    Paper: https://arxiv.org/abs/2406.06718 Code: https://github.com/google-deepmind/torax,demishassabis,Pushmeet Kohli,407,8,66,10
https://twitter.com/GoogleDeepMind/status/1800496540672508261#m,"A paper origami owl, a felt robot, a skater made of clay... here’s how Imagen 3 can generate visually rich images with complex textures. 👀",demishassabis,Google DeepMind,444,9,55,20
https://twitter.com/matthewclifford/status/1800078520552423678#m,Lots of fun chatting with the great @demishassabis at @stripe Tour London. We covered: - What’s next in AI - AlphaFold 3 and AI for science  - 🇬🇧/acc and def/acc - … and much more!  https://invidious.qwik.space/D-eyJhJXXsE?si=sfQ-tGdgaJMCJm3C,demishassabis,Matt Clifford,138,2,12,5
https://twitter.com/demishassabis/status/1799138080626188300#m,"First time back in NYC since the sad passing of Prof Kahneman & Dr Kissinger – brilliant thinkers with whom I spent many fascinating hours here discussing AI & philosophy, from what it would mean for AI to have System 2 thinking, to Spinoza & using AI to understand the universe",demishassabis,Demis Hassabis,472,5,19,24
https://twitter.com/demishassabis/status/1799074445719638198#m,"The classic AlphaGo documentary is available on YouTube if you haven't seen it, covering our 2016 match against the legendary Go world champion Lee Sae Dol: https://invidious.qwik.space/watch?v=WXuK6gekU1Y",demishassabis,Demis Hassabis,146,6,16,6
https://twitter.com/demishassabis/status/1799074443744227628#m,"Looking forward later today to the #Tribeca2024 premiere of The Thinking Game - a new documentary about the story of @GoogleDeepMind, AGI & AlphaFold, by Greg Kohs with music by Dan Deacon; it’s a sequel of sorts to the award-winning AlphaGo documentary https://tribecafilm.com/films/thinking-game-2024",demishassabis,Demis Hassabis,697,11,75,27
https://twitter.com/GoogleDeepMind/status/1795788432750280796#m,Our video generation model Veo can create clips from a single reference image. 🖼️  These can follow the original visual style alongside instructions from a text prompt. Let’s take a look. 🧵,demishassabis,Google DeepMind,1093,79,245,63
https://twitter.com/lmsysorg/status/1795512202465845686#m,"Big news – Gemini 1.5 Flash, Pro and Advanced results are out!🔥  - Gemini 1.5 Pro/Advanced at #2, closing in on GPT-4o - Gemini 1.5 Flash at #9, outperforming Llama-3-70b and nearly reaching GPT-4-0125 (!)  Pro is significantly stronger than its April version. Flash’s cost,…",demishassabis,lmsys.org,1186,112,276,40
https://twitter.com/skirano/status/1792948429754151293#m,"I built my own omni assistant using Gemini 1.5 Flash to guide me through Super Mario 64.   Gemini can see what I do on my screen and communicate with me in real time via voice, and thanks to the long 1M context, it has a memory of everything we do together.   Incredible.",demishassabis,Pietro Schirano,1642,48,265,90
https://twitter.com/GoogleDeepMind/status/1792526113018720352#m,How does SynthID watermark AI-generated content? 🔍,demishassabis,Google DeepMind,711,39,162,36
https://twitter.com/JeffDean/status/1791518997973762322#m,"Gemini 1.5 Model Family: Technical Report updates now published  In the report we present the latest models of the Gemini family – Gemini 1.5 Pro and Gemini 1.5 Flash, two highly compute-efficient multimodal models capable of recalling and reasoning over fine-grained information…",demishassabis,Jeff Dean (@🏡),1011,55,255,28
https://twitter.com/sundarpichai/status/1791582982870089752#m,"Updated Gemini 1.5 Pro report: MATH benchmark for specialized version now at 91.1%, SOTA 3 years ago was 6.9%, overall a lot of progress from February to May in all benchmarks",demishassabis,Sundar Pichai,1430,18,168,89
https://twitter.com/OriolVinyalsML/status/1791521517211107515#m,"Today we have published our updated Gemini 1.5 Model Technical Report. As @JeffDean highlights, we have made significant progress in Gemini 1.5 Pro across all key benchmarks; TL;DR: 1.5 Pro > 1.0 Ultra, 1.5 Flash (our fastest model) ~= 1.0 Ultra.  As a math undergrad, our drastic…",demishassabis,Oriol Vinyals,1046,67,217,41
https://twitter.com/ShaneLegg/status/1791485172560322941#m,"Today our team @GoogleDeepMind announced the Frontier Safety Framework — a set of exploratory protocols to proactively identify future AI capabilities, and put in place mechanisms to detect them.  Great efforts from @ancadianadragan, @AllanDafoe & others https://deepmind.google/discover/blog/introducing-the-frontier-safety-framework",demishassabis,Shane Legg,231,3,56,13
https://twitter.com/GoogleDeepMind/status/1790433540548558853#m,"We’re sharing Project Astra: our new project focused on building a future AI assistant that can be truly helpful in everyday life. 🤝  Watch it in action, with two parts - each was captured in a single take, in real time. ↓ #GoogleIO",demishassabis,Google DeepMind,3977,581,1062,223
