link,text,username,user,likes,quotes,retweets,comments
https://twitter.com/elonmusk/status/1802398739019210868#m,Wow!,elonmusk,Elon Musk,36500,497,9967,3529
https://twitter.com/NASA/status/1802366777575297109#m,"Happy #FathersDay! This image was taken by our Galileo spacecraft, named for a father of modern astronomy, Galileo Galilei. It was the first mission to measure Jupiter's atmosphere directly with a probe and the first to observe of the Jovian system from orbit.",elonmusk,NASA,7172,54,1074,414
https://twitter.com/elonmusk/status/1802409584189194530#m,lol 😬,elonmusk,Elon Musk,11065,48,1066,1144
https://twitter.com/elonmusk/status/1802404301047992770#m,Video continues to increase fast,elonmusk,Elon Musk,15367,59,1608,1326
https://twitter.com/elonmusk/status/1802384142728106190#m,Happy Father's Day!,elonmusk,Elon Musk,255070,1678,19461,12385
https://twitter.com/alex_avoigt/status/1802251325415067771#m,Shows this to all who claim BEVs are not growing or renewables are not the solution.,elonmusk,Alex,5558,70,1021,804
https://twitter.com/elonmusk/status/1802016638721773642#m,!!,elonmusk,Elon Musk,136695,895,27615,6728
https://twitter.com/elonmusk/status/1802010958828843203#m,Legalize humor!!,elonmusk,Elon Musk,406311,8736,37055,19013
https://twitter.com/elonmusk/status/1802010453771780269#m,😂,elonmusk,Elon Musk,29888,92,3077,1701
https://twitter.com/elonmusk/status/1802009851687797234#m,Hmm,elonmusk,Elon Musk,134919,658,27934,5507
https://twitter.com/Tesla/status/1801365678827458720#m,"In 2023, our customers avoided releasing over 20 million metric tons of CO2e into the Earth’s atmosphere by using our products",elonmusk,Tesla,7449,50,993,650
https://twitter.com/elonmusk/status/1801977467218853932#m,"We should eliminate electronic voting machines. The risk of being hacked by humans or AI, while small, is still too high.",elonmusk,Elon Musk,333498,8664,69647,28515
https://twitter.com/elonmusk/status/1801976488251814048#m,"Wise words from a recent interview with @geoffreyhinton, one of the smartest people in the world regarding AI",elonmusk,Elon Musk,109315,2048,25497,5969
