link,text,username,user,likes,quotes,retweets,comments
https://twitter.com/geoffreyhinton/status/1793760928632365077#m,New AI safety paper in Science with a lot of authors: https://www.science.org/doi/10.1126/science.adn0117,geoffreyhinton,Geoffrey Hinton,1022,34,271,83
https://twitter.com/geoffreyhinton/status/1775933990983348564#m,There is a UK company called Profit Crunch Ltd that is fraudulent. They claim i am a director and use my reputation to reassure investors. They are crooks. I have nothing to do with them. They also forged my signature on an insurance certificate.,geoffreyhinton,Geoffrey Hinton,1438,25,210,101
https://twitter.com/VayuRobotics/status/1775148999823261836#m,"📰 🎉 #VayuRobotics has been named to the 2024 @CBinsights #AI 100 list in recognition of our novel tech developing AI foundation models for mobility & #robotics. We are honored to be on this list of esteemed companies. Congratulations, Team Vayu! https://www.vayurobotics.com/press-releases/vayu-robotics-named-to-the-2024-cb-insights-ai-100-list",geoffreyhinton,Vayu Robotics,84,1,18,11
https://twitter.com/geoffreyhinton/status/1744477430906073123#m,"The way it attends to relevant parts of the visual input seems almost human, though its attending in parallel as well as sequentially.",geoffreyhinton,Geoffrey Hinton,323,5,54,40
https://twitter.com/geoffreyhinton/status/1729247589235597687#m,Someone with access to two boats should be able to recreate this and make a viral video of it. The water needs to be rough enough to disguise the wakes except when they positively interfere.,geoffreyhinton,Geoffrey Hinton,247,3,17,31
https://twitter.com/geoffreyhinton/status/1729247587197485300#m,"If two boats on a similar course went by some time ago, their wakes would be small and almost parallel. Where the wakes intersect you would get an interference pattern of bigger waves alternating with smaller waves and this pattern would move sideways in an undulating fashion.",geoffreyhinton,Geoffrey Hinton,201,6,18,11
https://twitter.com/geoffreyhinton/status/1729247585058386100#m,"When the sun is low and you are looking towards the sun across the water, the nearside of a steep wave looks black. So how could we get a pattern of waves that alternate between being steep and shallow and move sideways to the line of sight across the lake?",geoffreyhinton,Geoffrey Hinton,114,1,4,6
https://twitter.com/geoffreyhinton/status/1729247583061553361#m,"One evening this summer, my partner and I saw the Loch Ness monster swimming in Lake Huron. It was at least 10 feet long and swam in an undulating fashion with big black humps that were each several feet long and went up and down as it moved across the lake.",geoffreyhinton,Geoffrey Hinton,987,82,79,109
https://twitter.com/geoffreyhinton/status/1728178632508780919#m,Yann LeCun thinks the risk of AI taking over is miniscule. This means he puts a big weight on his own opinion and a miniscule weight on the opinions of many other equally qualified experts.,geoffreyhinton,Geoffrey Hinton,4362,386,499,657
https://twitter.com/geoffreyhinton/status/1721937095860633663#m,Fei-Fei Li has written a book. She was the first computer vision researcher to truly understand the power of big data and her work opened the floodgates for deep learning. She delivers a clear-eyed account of the awesome potential and danger of AI. https://www.momentoflift.com/the-worlds-i-see,geoffreyhinton,Geoffrey Hinton,2657,27,401,74
