link,text,username,user,likes,quotes,retweets,comments
https://twitter.com/sama/status/1801417160369311977#m,"excited for general paul nakasone to join the openai board for many reasons, including the critical importance of adding safety and security expertise as we head into our next phase.",sama,Sam Altman,2892,192,238,933
https://twitter.com/sama/status/1800240506318037208#m,really looking forward to working with kevin and sarah!,sama,Sam Altman,3436,12,153,190
https://twitter.com/sama/status/1800237314360127905#m,very happy to be partnering with apple to integrate chatgpt into their devices later this year!  think you will really like it.,sama,Sam Altman,50663,1526,4436,2305
https://twitter.com/OpenAI/status/1798762092528586945#m,"We're sharing progress toward understanding the neural activity of language models. We improved methods for training sparse autoencoders at scale, disentangling GPT-4’s internal representations into 16 million features—which often appear to correspond to understandable concepts.…",sama,OpenAI,4953,202,854,335
https://twitter.com/sama/status/1791936857594581428#m,"in regards to recent stuff about how openai handles equity:  we have never clawed back anyone's vested equity, nor will we do that if people do not sign a separation agreement (or don't agree to a non-disparagement agreement). vested equity is vested equity, full stop.  there was…",sama,Sam Altman,8811,473,635,1338
https://twitter.com/gdb/status/1791869138132218351#m,"We’re really grateful to Jan for everything he's done for OpenAI, and we know he'll continue to contribute to the mission from outside. In light of the questions his departure has raised, we wanted to explain a bit about how we think about our overall strategy.  First, we have…",sama,Greg Brockman,3673,254,452,475
https://twitter.com/sama/status/1791543264090472660#m,"i'm super appreciative of @janleike's contributions to openai's alignment research and safety culture, and very sad to see him leave. he's right we have a lot more to do; we are committed to doing it. i'll have a longer post in the next couple of days.  🧡",sama,Sam Altman,5699,176,367,661
https://twitter.com/sama/status/1791183356274921568#m,"i try not to think about competitors too much, but i cannot stop thinking about the aesthetic difference between openai and google",sama,Sam Altman,25694,1535,1388,2570
https://twitter.com/sama/status/1790817315069771959#m,also for clarity: the new voice mode hasn't shipped yet (though the text mode of GPT-4o has). what you can currently use in the app is the old version.  the new one is very much worth the wait!,sama,Sam Altman,14689,351,917,1167
https://twitter.com/sama/status/1790816449180876804#m,"GPT-4o would not have happened without the vision, talent, conviction, and determination of @prafdhar over a long period of time. that (along with the work of many others) led to what i hope will turn out to be a revolution in how we use computers.",sama,Sam Altman,7722,81,606,303
https://twitter.com/sama/status/1790518321881985365#m,feeling the AGI today 🩵,sama,Sam Altman,10318,104,509,426
https://twitter.com/sama/status/1790518031640347056#m,"Ilya and OpenAI are going to part ways. This is very sad to me; Ilya is easily one of the greatest minds of our generation, a guiding light of our field, and a dear friend. His brilliance and vision are well known; his warmth and compassion are less well known but no less…",sama,Sam Altman,26124,1024,2217,1537
https://twitter.com/sama/status/1790422393883865411#m,"congratulations to @oklo on going public, especially @jakedewitte and @caorilne, who i have worked with for a decade.  energy is one of the most important things to work on and i’m excited to help support that mission. onward!",sama,Sam Altman,3167,33,204,188
https://twitter.com/_aidan_clark_/status/1790091535096193458#m,"2x cheaper & faster is for English, but for other languages (especially non-latin-script) expect - thanks to our new tokenizer -- even up to 9x cheaper/faster!",sama,Aidan Clark,1248,13,146,44
https://twitter.com/sama/status/1790075827666796666#m,her,sama,Sam Altman,41863,3677,5223,3043
https://twitter.com/sama/status/1790074770324639933#m,"too long for a tweet, some thoughts on GPT-4o:  https://blog.samaltman.com/gpt-4o",sama,Sam Altman,11917,325,1831,576
https://twitter.com/OpenAI/status/1790072174117613963#m,"Say hello to GPT-4o, our new flagship model which can reason across audio, vision, and text in real time: openai.com/index/hello-gpt-4…  Text and image input rolling out today in API and ChatGPT with voice and video in the coming weeks.",sama,OpenAI,62091,11291,14039,2685
https://twitter.com/sama/status/1790071830427930788#m,hope you enjoyed!  the new voice mode will be live in the coming weeks for plus users.  we'll have more stuff to share soon :),sama,Sam Altman,5301,83,221,369
https://twitter.com/sama/status/1790070640654897342#m,audience request to act as a translator,sama,Sam Altman,4566,281,546,133
https://twitter.com/sama/status/1790070399947981110#m,and for coding!,sama,Sam Altman,1798,108,199,68
https://twitter.com/sama/status/1790069224171348344#m,real-time voice and video feels so natural; it’s hard to get across by just tweeting. we will roll it out in the coming weeks.,sama,Sam Altman,2068,30,125,128
https://twitter.com/sama/status/1790068956557881504#m,and with video mode!!,sama,Sam Altman,2387,278,325,91
https://twitter.com/sama/status/1790068157404569608#m,check it out:,sama,Sam Altman,3139,439,441,146
https://twitter.com/sama/status/1790066924128235669#m,ok now get ready for an amazing demo!!,sama,Sam Altman,1171,23,45,73
https://twitter.com/sama/status/1790066685698789837#m,"in the API, GPT-4o is half the price AND twice as fast as GPT-4-turbo. and 5x rate limits.",sama,Sam Altman,2990,362,236,84
https://twitter.com/sama/status/1790066235696206147#m,especially at coding,sama,Sam Altman,1754,104,145,61
https://twitter.com/sama/status/1790066003113607626#m,it is a very good model (we had a little fun with the name while testing),sama,Sam Altman,1784,85,186,53
https://twitter.com/sama/status/1790065743221907960#m,amazing work!,sama,Sam Altman,4821,28,324,123
