link,text,username,user,likes,quotes,retweets,comments
https://twitter.com/tsarnick/status/1802213551903580662#m,"Andrew Ng says California's proposed bill SB-1047 would stifle innovation in open source, and poses a specter of liability on builders of AI for anything nefarious their models are adapted to do",ylecun,Tsarathustra,182,3,38,22
https://twitter.com/deedydas/status/1802019023422627889#m,"It's finally here. Q* rings true. Tiny LLMs are as good at math as a frontier model.  By using the same techniques Google used to solve Go (MTCS and backprop), Llama8B gets 96.7% on math benchmark GSM8K!  That’s better than GPT-4, Claude and Gemini, with 200x less parameters!",ylecun,Deedy,1769,34,200,21
https://twitter.com/gabrielpeyre/status/1801842069494771925#m,"Oldies but goldies: Cooley, James W.; Tukey, John W., An algorithm for the machine calculation of complex Fourier series, 1965. Showed how to compute the discrete Fourier transform in n*log(n) operations. Used (almost) everywhere. https://en.wikipedia.org/wiki/Fast_Fourier_transform",ylecun,Gabriel Peyré,593,3,95,7
https://twitter.com/ylecun/status/1802071447868948837#m,Got growth?,ylecun,Yann LeCun,314,6,31,42
https://twitter.com/ylecun/status/1802070044673036584#m,Funny but true.,ylecun,Yann LeCun,232,3,19,20
https://twitter.com/ylecun/status/1802017378059833792#m,R&D expenditures as a percentage of GDP. https://data.worldbank.org/indicator/GB.XPD.RSDV.GD.ZS?most_recent_value_desc=true,ylecun,Yann LeCun,251,9,33,27
https://twitter.com/ylecun/status/1802013900017136107#m,"In this context, ""cost"" does *not* mean ""monetary cost."" It is used in the technical sense of ""cost function"" : a scalar-valued mathematical function that takes large values for bad things, low values for good things, and zero for ideally good things.",ylecun,Yann LeCun,101,0,0,11
https://twitter.com/ylecun/status/1801990685391728860#m,I repeat: investment in research is the engine of economic development.,ylecun,Yann LeCun,3203,60,691,161
https://twitter.com/ylecun/status/1801978192950927511#m,"Can language models be used as world models? Not really.  No world model, no planning.",ylecun,Yann LeCun,1219,23,170,119
https://twitter.com/_philschmid/status/1801888606232957015#m,"New Retrieval Augmented Generation Benchmark from @AIatMeta! 🚀 Comprehensive RAG Benchmark (CRAG) is the RAG benchmark for factual question-answering consisting of 4,409 question-answer pairs with mock APIs to simulate retrieval for evaluating LLMs.  CRAG Tasks: 1️⃣ Retrieval…",ylecun,Philipp Schmid,195,1,51,3
https://twitter.com/ylecun/status/1801976724789305469#m,Where are European companies?,ylecun,Yann LeCun,5363,134,511,958
https://twitter.com/moo_jin_kim/status/1801548441102991771#m,"✨ Introducing 𝐎𝐩𝐞𝐧𝐕𝐋𝐀 — an open-source vision-language-action model for robotics! 👐  - SOTA generalist policy - 7B params - outperforms Octo, RT-2-X on zero-shot evals 🦾 - trained on 970k episodes from OpenX dataset 🤖 - fully open: model/code/data all online 🤗  🧵👇",ylecun,Moo Jin Kim,560,20,132,16
https://twitter.com/ylecun/status/1801955431209672966#m,"Doomers: OMG, if a machine is designed to maximize utility, it will inevitably diverge 😱 Engineers: calm down, dude. We only design machines that minimize costs. Cost functions have a lower bound at zero. Minimizing costs can't cause divergence unless you're really stupid.",ylecun,Yann LeCun,772,16,55,94
https://twitter.com/AIatMeta/status/1801693634775158941#m,Are you building something cool with Meta Llama models? Already launched something that's having an impact in your community? We'd love to hear about it!  Share your Llama story ➡️ https://go.fb.me/umvtvc,ylecun,AI at Meta,257,2,44,25
https://twitter.com/ylecun/status/1801748183850094899#m,"Clearly, the coolest combination of concepts ever:  Clifford-steerable, Lorentz-equivariant ConvNet.",ylecun,Yann LeCun,1025,9,98,22
https://twitter.com/SteveRattner/status/1801634630715531619#m,The Supreme Court supports American exceptionalism.,ylecun,Steven Rattner,1499,37,613,209
https://twitter.com/deanwball/status/1798654526766879137#m,"SB 1047 has been amended, as Senator Wiener recently telegraphed. My high-level thoughts:  1. There are some good changes, including narrowing the definition of a covered model 2. The bill is now more complex, and arguably harder for devs to comply with.   Details below.",ylecun,Dean W. Ball,96,5,23,5
https://twitter.com/ylecun/status/1801610726982684753#m,Society of Minds?  As Marvin Minsky would have said.,ylecun,Yann LeCun,418,11,40,40
https://twitter.com/ylecun/status/1801478238210036046#m,"Fauci City.  Without your space helmet, Elon, you're going to find that rather difficult.",ylecun,Yann LeCun,2258,26,81,527
